institute,record_id,gender,country_origin,citizenship,months_postdoc,job_sector,job_type,specifics,job_country,job_state,degree,degree_field,degree_cip,years
NIEHS,714,Female,United Kingdom,International,27.8,Academic institution,Management,Primarily basic research,United Kingdom,London,PhD,Molecular Toxicology,Pharmacology/Toxicology,2000-2004
NIEHS,186,Female,Germany,International,37.9,Academic institution,Management,Science administration/project management,United States,Florida,PhD,Molecular Genetics,Genetics/Genomics,2000-2004
NIEHS,646,Female,India,International,47.5,Academic institution,Management,Primarily clinical research,United States,Maryland,PhD,Cell Biology and Immunology,Biochemistry/Cellular Biology/Molecular Biology,2005-2009
NIEHS,576,Male,Belgium,International,31,Academic institution,Management,Science administration/project management,Belgium,Brussels,PhD,Biochemistry and Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2000-2004
NIEHS,362,Male,India,International,59.1,Academic institution,Management,Intellectual property/licensing and patenting,United States,Alabama,PhD,Unknown,Unknown,2000-2004
NIEHS,515,Female,United States,US,46.9,Academic institution,Management,Science administration/project management,United Kingdom,Leicester,PhD,Anatomy and Cell Biology,Biochemistry/Cellular Biology/Molecular Biology,2005-2009
NIEHS,489,Female,United States,US,56.5,Academic institution,Management,Primarily teaching,United States,New Jersey,PhD,Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2000-2004
NIEHS,302,Female,United States,US,99.9,Academic institution,Management,Business development or Operations,United States,North Carolina,PhD,Unknown,Unknown,2005-2009
NIEHS,305,Female,United States,US,29.1,Academic institution,Management,Science administration/project management,United States,North Carolina,PhD,Chemistry,Chemistry,2010-2014
NIEHS,750,Female,United States,US,18,Academic institution,Management,Technical/customer support,United States,North Carolina,PhD,Biochemistry and Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2005-2009
NIEHS,25,Male,United States,US,52.1,Academic institution,Management,Science administration/project management,United States,North Carolina,PhD,Pharmacology and Toxicology,Pharmacology/Toxicology,2005-2009
NIEHS,266,Female,China,International,36,For-profit company,Management,Primarily applied research,China,Hong Kong,PhD,Biology,General Biology/Biomedical Science,2010-2014
NIEHS,156,Female,China,International,47.5,For-profit company,Management,Primarily applied research,China,Shanghai,PhD,Cell Biology,Biochemistry/Cellular Biology/Molecular Biology,2010-2014
NIEHS,929,Female,China,International,47.5,For-profit company,Management,Primarily applied research,China,Shanghai,PhD,Health Sciences,General Health Sciences,2010-2014
NIEHS,70,Female,United Kingdom,International,31,For-profit company,Management,Primarily applied research,United Kingdom,Windlesham,PhD,Unknown,Unknown,2000-2004
NIEHS,726,Female,India,International,57.8,For-profit company,Management,Regulatory affairs,United States,Maryland,PhD,Toxicology,Pharmacology/Toxicology,2010-2014
NIEHS,264,Female,China,International,47.7,For-profit company,Management,Primarily applied research,United States,Massachusetts,PhD,Biophysics,Biophysics/Structural Biology,2000-2004
NIEHS,250,Female,Spain,International,40.8,For-profit company,Management,Business Development or Operations,United States,New Jersey,PhD,Biochemistry and Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2000-2004
